#period	period time	calc time
1	1499	503
2	1252	504
3	1252	1504
4	1743	1271
5	5256	1244
6	4485	1254
7	5500	1002
8	4985	1009
9	5012	999
10	5241	1251
11	5002	1249
12	4990	1007
13	5262	1239
14	5233	1000
15	5002	1017
16	4999	1011
17	5245	1247
18	4742	1019
19	5002	996
20	4739	1255
21	4743	997
22	5513	1000
23	4736	1248
24	5243	1000
25	4750	1257
26	5246	1000
27	5251	1006
28	4243	1008
29	5251	1497
30	5239	1010
31	5005	997
32	5238	1001
33	4754	5251
34	998	1003
35	998	1504
36	3752	999
37	4999	1246
38	5498	995
39	4489	1009
40	5256	994
41	5236	1254
42	4754	1243
43	5247	1000
44	4494	1001
45	5244	1000
46	990	253
47	998	1254
48	4755	1247
49	5243	1252
50	4745	1002
51	5495	1001
52	5002	999
53	1491	260
54	1491	1252
55	3747	1255
56	5252	1250
57	4745	1252
58	4997	1002
59	5246	1002
60	5253	998
61	1501	995
62	1501	1494
63	3239	1001
64	5001	1001
65	5003	998
66	1494	253
67	1494	1253
68	3998	1003
69	5250	1247
70	4490	5260
71	5499	1001
72	1250	1250
73	3745	1010
74	4999	1250
75	4994	1001
76	4999	1024
77	5250	1004
78	4991	1255
79	5248	1002
80	4747	1002
81	5243	1015
